:ID,:LABEL,namespace:string,species:float,involved_other:string,default:string,bel:string,name:string,involved_genes:string
10761,Activity,,10090.0,,,"act(complex(p(MGI:""Faap100""),p(MGI:""Faap24""),p(MGI:""Fanca""),p(MGI:""Fancb""),p(MGI:""Fancc""),p(MGI:""Fance""),p(MGI:""Fancf""),p(MGI:""Fancg""),p(MGI:""Fancl""),p(MGI:""Fancm""),p(MGI:""Hes1""),p(MGI:""Ube2t""),composite(p(MGI:""Cenps""),p(MGI:""Cenpx""))))",,Ube2t;Faap100;Cenpx;Cenps;Fancl;Fancm;Fanca;Hes1;Fancb;Faap24;Fancc;Fance;Fancf;Fancg
10762,Activity,,9606.0,,,"act(complex(p(HGNC:""TICAM1""),p(HGNC:""TICAM2"")))",,TICAM2;TICAM1
10763,Activity,,10116.0,,cat,"act(p(RGD:""B4galt6""),ma(cat))",,B4galt6
10764,Activity,,9606.0,,,"act(p(HGNC:""MS4A2""))",,MS4A2
10765,Activity,,10090.0,,,"act(p(MGI:""Irf5""))",,Irf5
10766,Activity,,10090.0,,,"act(p(MGI:""Nlrc4""))",,Nlrc4
10767,Activity,GO,,vascular endothelial growth factor receptor 1 binding,,"act(p(HGNCGENEFAMILY:""Heat shock 90kDa proteins""),ma(GO:""vascular endothelial growth factor receptor 1 binding""))",vascular endothelial growth factor receptor 1 binding,Heat shock 90kDa proteins
10768,Activity,,10090.0,,cat,"act(p(MGI:""Gla""),ma(cat))",,Gla
10769,Activity,,9606.0,,,"act(p(HGNC:""NRCAM""))",,NRCAM
10770,Activity,,10116.0,,cat,"act(p(RGD:""Nnmt""),ma(cat))",,Nnmt
10771,Activity,,9606.0,,,"act(p(HGNC:""GHSR""))",,GHSR
10772,Activity,,10090.0,,,"act(p(MGI:""Ccr7""))",,Ccr7
10773,Activity,,7227.0,,cat,"act(p(FLYBASE:""Pgm2b""),ma(cat))",,Pgm2b
10774,Activity,,9606.0,,cat,"act(p(HGNC:""ST8SIA1""),ma(cat))",,ST8SIA1
10775,Activity,,10090.0,,,"act(p(MGI:""Sctr""))",,Sctr
10776,Activity,,,,,"act(p(CONSO:""CONSO00174""))",,CONSO00174
10777,Activity,,10090.0,,cat,"act(p(MGI:""Chdh""),ma(cat))",,Chdh
10778,Activity,,9606.0,,cat,"act(p(HGNC:""ALG9""),ma(cat))",,ALG9
10779,Activity,,10116.0,,,"act(p(RGD:""Cd38""))",,Cd38
10780,Activity,,9606.0,,,"act(complex(p(HGNC:""TIAM1""),composite(p(HGNC:""VAV1""),p(HGNC:""VAV2""),p(HGNC:""VAV3""))))",,VAV3;TIAM1;VAV1;VAV2
10781,Activity,,10116.0,,,"act(p(RGD:""Il4""))",,Il4
10782,Activity,,10090.0,,cat,"act(p(MGI:""Txndc12""),ma(cat))",,Txndc12
10783,Activity,GO,9606.0,microtubule binding,,"act(p(HGNC:""MAPT""),ma(GO:""microtubule binding""))",microtubule binding,MAPT
10784,Activity,,10090.0,,cat,"act(p(MGI:""Dao""),ma(cat))",,Dao
10785,Activity,,9606.0,,,"act(p(HGNC:""PDCD1""))",,PDCD1
10786,Activity,,10090.0,,,"act(p(MGI:""Araf""))",,Araf
10787,Activity,,9606.0,,cat,"act(p(HGNC:""ST6GALNAC5""),ma(cat))",,ST6GALNAC5
10788,Activity,,10116.0,,,"act(p(RGD:""Plcb2""))",,Plcb2
10789,Activity,,9606.0,,cat,"act(p(HGNC:""CYP2B6""),ma(cat))",,CYP2B6
10790,Activity,,9606.0,,,"act(p(HGNC:""APP""))",,APP
10791,Activity,,10116.0,,,"act(complex(p(RGD:""Dag1""),p(RGD:""Dag1"")))",,Dag1
10792,Activity,,9606.0,,chap,"act(p(HGNC:""RIC3""),ma(chap))",,RIC3
10793,Activity,,10090.0,,,"act(complex(p(MGI:""Btk""),p(MGI:""Lcp2""),p(MGI:""Plcg2"")))",,Btk;Plcg2;Lcp2
10794,Activity,,9606.0,,,"act(p(HGNC:""IL17RB""))",,IL17RB
10795,Activity,,10116.0,,,"act(complex(p(RGD:""Cdk1""),composite(p(RGD:""Ccna1""),p(RGD:""Ccna2""))))",,Ccna1;Ccna2;Cdk1
10796,Activity,,7227.0,,cat,"act(p(FLYBASE:""Ipp""),ma(cat))",,Ipp
10797,Activity,,9606.0,,,"act(p(HGNC:""TTBK2""))",,TTBK2
10798,Activity,,10090.0,,,"act(p(MGI:""P2rx7""))",,P2rx7
10799,Activity,,9606.0,,kin,"act(p(HGNC:""CAMK2A""),ma(kin))",,CAMK2A
10800,Activity,,10090.0,,,"act(p(MGI:""Rho""))",,Rho
10801,Activity,,9606.0,,,"act(p(HGNC:""SH2D1A""))",,SH2D1A
10802,Activity,,10090.0,,,"act(p(MGI:""Ptprb""))",,Ptprb
10803,Activity,,,deoxyribonucleic acid,,"act(a(CHEBI:""deoxyribonucleic acid""))",,
10804,Activity,,10116.0,,,"act(p(RGD:""Ppp1r15a""))",,Ppp1r15a
10805,Activity,,9606.0,,cat,"act(p(HGNC:""CRLS1""),ma(cat))",,CRLS1
10806,Activity,,9606.0,,,"act(p(HGNC:""ADAM9""))",,ADAM9
10807,Activity,,10116.0,,,"act(complex(p(RGD:""Tgfbr1""),p(RGD:""Tgfbr2"")))",,Tgfbr1;Tgfbr2
10808,Activity,,,,,"act(p(MESH:""Receptors, Glucocorticoid""))",,"Receptors, Glucocorticoid"
10809,Activity,,10116.0,,,"act(p(RGD:""Foxo4""))",,Foxo4
10810,Activity,,9606.0,,cat,"act(p(HGNC:""ACOT12""),ma(cat))",,ACOT12
10811,Activity,,10116.0,,,"act(p(RGD:""Msn""))",,Msn
10812,Activity,,7227.0,,cat,"act(p(FLYBASE:""Pten""),ma(cat))",,Pten
10813,Activity,,9606.0,,,"act(p(HGNC:""SYN1""))",,SYN1
10814,Activity,,10090.0,,,"act(p(MGI:""Eif2s1""))",,Eif2s1
10815,Activity,,9606.0,,,"act(p(HGNC:""ACO2""))",,ACO2
10816,Activity,,10116.0,,,"act(p(RGD:""Trpm7""))",,Trpm7
10817,Activity,,9606.0,,,"act(p(HGNC:""PPM1B""))",,PPM1B
10818,Activity,,10090.0,,cat,"act(p(MGI:""Mvk""),ma(cat))",,Mvk
10819,Activity,,9606.0,,,"act(p(HGNC:""RAD51""))",,RAD51
10820,Activity,,10090.0,,,"act(p(MGI:""Pla2g6""))",,Pla2g6
10821,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG6201""),ma(cat))",,CG6201
10822,Activity,,9606.0,,,"act(p(HGNC:""CHRNA10""))",,CHRNA10
10823,Activity,,10090.0,,,"act(p(MGI:""Ilk""))",,Ilk
10824,Activity,,,dendrite,,"act(a(GO:""dendrite""))",,
10825,Activity,,10090.0,,,"act(complex(composite(p(MGI:""Creb1""),p(MGI:""Creb3""),p(MGI:""Creb3l1""),p(MGI:""Creb3l2""),p(MGI:""Creb3l3""),p(MGI:""Creb3l4""),p(MGI:""Creb5"")),composite(p(MGI:""Crebbp""),p(MGI:""Ep300""))))",,Creb1;Crebbp;Creb3;Creb3l3;Ep300;Creb3l4;Creb3l1;Creb3l2;Creb5
10826,Activity,,9606.0,,,"act(p(HGNC:""TNFRSF6B""))",,TNFRSF6B
10827,Activity,,10116.0,,cat,"act(p(RGD:""Ppip5k1""),ma(cat))",,Ppip5k1
10828,Activity,,9606.0,,,"act(p(HGNC:""GNA12""))",,GNA12
10829,Activity,,,,,"act(p(CONSO:""RAC1b""))",,RAC1b
10830,Activity,,10090.0,,,"act(p(MGI:""P2ry4""))",,P2ry4
10831,Activity,,9606.0,,,"act(p(HGNC:""HIF1AN""))",,HIF1AN
10832,Activity,,10090.0,,,"act(p(MGI:""Rras""))",,Rras
10833,Activity,,9606.0,,,"act(p(HGNC:""MAP4K3""))",,MAP4K3
10834,Activity,,10116.0,,cat,"act(p(RGD:""Alg5""),ma(cat))",,Alg5
10835,Activity,,7227.0,,,"act(p(FLYBASE:""yki""))",,yki
10836,Activity,,10116.0,,,"act(p(RGD:""Oprm1""))",,Oprm1
10837,Activity,,7227.0,,cat,"act(p(FLYBASE:""Dera""),ma(cat))",,Dera
10838,Activity,,9606.0,,,"act(p(HGNC:""TGFB1""))",,TGFB1
10839,Activity,,10090.0,,,"act(p(MGI:""Gnat3""))",,Gnat3
10840,Activity,,,,,"act(p(HGNCGENEFAMILY:""Aminopeptidases""))",,Aminopeptidases
10841,Activity,,10116.0,,cat,"act(p(RGD:""Arsb""),ma(cat))",,Arsb
10842,Activity,,9606.0,,,"act(p(HGNC:""MPL""))",,MPL
10843,Activity,,10090.0,,cat,"act(p(MGI:""Ache""),ma(cat))",,Ache
10844,Activity,,9606.0,,,"act(p(HGNC:""ADCY10""))",,ADCY10
10845,Activity,,9606.0,,cat,"act(p(HGNC:""CMBL""),ma(cat))",,CMBL
10846,Activity,,10116.0,,,"act(p(RGD:""Tnfrsf13c""))",,Tnfrsf13c
10847,Activity,,9606.0,,,"act(p(HGNC:""IFNAR1""))",,IFNAR1
10848,Activity,,10116.0,,,"act(p(RGD:""Nefl""))",,Nefl
10849,Activity,,9606.0,,cat,"act(p(HGNC:""FPGT""),ma(cat))",,FPGT
10850,Activity,,10116.0,,,"act(complex(p(RGD:""Myd88""),p(RGD:""Tirap"")))",,Myd88;Tirap
10851,Activity,,9606.0,,,"act(complex(p(HGNC:""MYD88""),p(HGNC:""TIRAP""),p(HGNC:""TOLLIP"")))",,TOLLIP;MYD88;TIRAP
10852,Activity,,10116.0,,,"act(p(RGD:""Fxyd1""))",,Fxyd1
10853,Activity,,9606.0,,cat,"act(p(HGNC:""MOCS2""),ma(cat))",,MOCS2
10854,Activity,,9606.0,,,"act(p(HGNC:""ADRA2C""))",,ADRA2C
10855,Activity,,10090.0,,,"act(p(MGI:""Rgs2""))",,Rgs2
10856,Activity,,10090.0,,,"act(p(MGI:""Tnf""))",,Tnf
10857,Activity,,10090.0,,,"act(p(MGI:""Nefh""))",,Nefh
10858,Activity,,9606.0,,,"act(p(HGNC:""XCR1""))",,XCR1
10859,Activity,,10090.0,,,"act(complex(p(MGI:""Itgal""),composite(p(MGI:""Itgb2""),p(MGI:""Itgb2l""))))",,Itgb2l;Itgb2;Itgal
10860,Activity,,9606.0,,,"act(p(HGNC:""TPM1""))",,TPM1
10861,Activity,,9606.0,,kin,"act(p(HGNC:""LCK"",var(""p.Lys273Arg"")),ma(kin))",,LCK
10862,Activity,,10116.0,,,"act(complex(composite(p(RGD:""Il2ra""),p(RGD:""Il2rb""),p(RGD:""Il2rg"")),composite(p(RGD:""Jak1""),p(RGD:""Jak3""))))",,Il2rg;Il2ra;Il2rb;Jak3;Jak1
10863,Activity,,9606.0,,,"act(p(HGNC:""TRPM4""))",,TRPM4
10864,Activity,,10116.0,,,"act(p(RGD:""Cdc20""))",,Cdc20
10865,Activity,,9606.0,,cat,"act(p(HGNC:""CYP2C19""),ma(cat))",,CYP2C19
10866,Activity,,10116.0,,,"act(p(RGD:""Trpm4""))",,Trpm4
10867,Activity,,9606.0,,,"act(p(HGNC:""PIK3AP1""))",,PIK3AP1
10868,Activity,,,Hypophysis;Hypothalamus,,"act(complex(a(BRCO:""Hypophysis""),a(BRCO:""Hypothalamus"")))",,
10869,Activity,,10116.0,,cat,"act(p(RGD:""Dld""),ma(cat))",,Dld
10870,Activity,,,Electron Transport Complex I,,"act(a(MESH:""Electron Transport Complex I""))",,
10871,Activity,,10116.0,,,"act(complex(p(RGD:""Stat1""),p(RGD:""Stat2"")))",,Stat2;Stat1
10872,Activity,,9606.0,,,"act(complex(p(HGNC:""IL1RAP""),p(HGNC:""IL1RL2"")))",,IL1RL2;IL1RAP
10873,Activity,,10116.0,,,"act(complex(p(RGD:""Slc3a2""),p(RGD:""Slc7a11"")))",,Slc7a11;Slc3a2
10874,Activity,,9606.0,,,"act(p(HGNC:""CD44""))",,CD44
10875,Activity,,,,,"act(p(SFAM:""PIK3C Class IA Family""))",,PIK3C Class IA Family
10876,Activity,,9606.0,,,"act(p(HGNC:""CCDC88A""))",,CCDC88A
10877,Activity,,10090.0,,cat,"act(p(MGI:""Aanat""),ma(cat))",,Aanat
10878,Activity,,7227.0,,cat,"act(p(FLYBASE:""Hmgcl""),ma(cat))",,Hmgcl
10879,Activity,,10116.0,,cat,"act(p(RGD:""Tyrp1""),ma(cat))",,Tyrp1
10880,Activity,,9606.0,,cat,"act(p(HGNC:""TPO""),ma(cat))",,TPO
10881,Activity,,10116.0,,,"act(p(RGD:""Ppp1r1a""))",,Ppp1r1a
10882,Activity,,7227.0,,cat,"act(p(FLYBASE:""sad""),ma(cat))",,sad
10883,Activity,,9606.0,,,"act(p(HGNC:""EDN1""))",,EDN1
10884,Activity,,10090.0,,,"act(complex(p(MGI:""Tsc1""),p(MGI:""Tsc2"")))",,Tsc2;Tsc1
10885,Activity,,,Erythrocytes,,"act(a(MESH:""Erythrocytes""))",,
10886,Activity,,10090.0,,,"act(p(MGI:""Stat6""))",,Stat6
10887,Activity,,9606.0,,,"act(p(HGNC:""MYLIP""))",,MYLIP
10888,Activity,,10116.0,,cat,"act(p(RGD:""Prodh1""),ma(cat))",,Prodh1
10889,Activity,,7227.0,,,"act(p(FLYBASE:""Atg3""))",,Atg3
10890,Activity,,10090.0,,kin,"act(p(MGI:""Cdk5""),ma(kin))",,Cdk5
10891,Activity,,10090.0,,,"act(p(MGI:""Trp53""))",,Trp53
10892,Activity,,,Macrophages,,"act(a(MESH:""Macrophages"",loc(MESH:""Choroid Plexus"")))",,
10893,Activity,,10090.0,,cat,"act(p(MGI:""Cyp1a2""),ma(cat))",,Cyp1a2
10894,Activity,,9606.0,,cat,"act(p(HGNC:""TECR""),ma(cat))",,TECR
10895,Activity,,10116.0,,cat,"act(p(RGD:""Hpd""),ma(cat))",,Hpd
10896,Activity,,9606.0,,cat,"act(p(HGNC:""TH""),ma(cat))",,TH
10897,Activity,,10090.0,,,"act(p(MGI:""Tcf7""))",,Tcf7
10898,Activity,,10116.0,,,"act(p(RGD:""Foxo1""))",,Foxo1
10899,Activity,,9606.0,,,"act(p(HGNC:""PRKCB""))",,PRKCB
10900,Activity,,10116.0,,,"act(p(RGD:""Foxo3""))",,Foxo3
10901,Activity,GO,9606.0,NAD+ binding,,"act(p(HGNC:""SIRT1""),ma(GO:""NAD+ binding""))",NAD+ binding,SIRT1
10902,Activity,,10090.0,,,"act(p(MGI:""Baiap2""))",,Baiap2
10903,Activity,,7227.0,,cat,"act(p(FLYBASE:""mmy""),ma(cat))",,mmy
10904,Activity,,10090.0,,,"act(p(MGI:""Trpm2""))",,Trpm2
10905,Activity,,,,,"act(p(CHEBI:""adrenergic agent""))",,adrenergic agent
10906,Activity,,,alpha6beta2 nicotinic acetylcholine receptor,,"act(a(MESH:""alpha6beta2 nicotinic acetylcholine receptor""))",,
10907,Activity,,10090.0,,,"act(p(MGI:""Orai1""))",,Orai1
10908,Activity,,9606.0,,cat,"act(p(HGNC:""ALG5""),ma(cat))",,ALG5
10909,Activity,,10090.0,,cat,"act(p(MGI:""Cyp51""),ma(cat))",,Cyp51
10910,Activity,,9606.0,,,"act(p(HGNC:""RXFP2""))",,RXFP2
10911,Activity,,10116.0,,,"act(complex(p(RGD:""Baiap2""),composite(p(RGD:""Wasf1""),p(RGD:""Wasf2""),p(RGD:""Wasf3""))))",,Wasf3;Wasf2;Wasf1;Baiap2
10912,Activity,,10090.0,,cat,"act(p(MGI:""Fpgs""),ma(cat))",,Fpgs
10913,Activity,,,,,"act(p(FPLX:""GRIA""))",,GRIA
10914,Activity,,10090.0,,,"act(p(MGI:""Ddx58""))",,Ddx58
10915,Activity,,9606.0,,cat,"act(p(HGNC:""UROS""),ma(cat))",,UROS
10916,Activity,,10090.0,,,"act(complex(p(MGI:""Atg101""),p(MGI:""Atg13""),p(MGI:""Ulk2"")))",,Atg101;Ulk2;Atg13
10917,Activity,,9606.0,,,"act(p(HGNC:""OXTR""))",,OXTR
10918,Activity,,10090.0,,,"act(complex(p(MGI:""Il31ra""),p(MGI:""Osmr"")))",,Il31ra;Osmr
10919,Activity,,9606.0,,,"act(complex(p(HGNC:""ITGA1""),p(HGNC:""ITGB1"")))",,ITGB1;ITGA1
13104,Activity,,9606.0,,tport,"act(p(HGNC:""SORL1""),ma(tport))",,SORL1
13105,Activity,,10090.0,,,"act(p(MGI:""Tspo""))",,Tspo
13106,Activity,,,Hippocampus,,"act(a(MESH:""Hippocampus""))",,
13107,Activity,,10090.0,,cat,"act(p(MGI:""Agxt""),ma(cat))",,Agxt
13108,Activity,,9606.0,,cat,"act(p(HGNC:""FUT8""),ma(cat))",,FUT8
13109,Activity,,10116.0,,,"act(p(RGD:""Trpm2""))",,Trpm2
13110,Activity,,9606.0,,,"act(p(HGNC:""RGS14""))",,RGS14
13111,Activity,,10116.0,,,"act(p(RGD:""Il21r""))",,Il21r
13112,Activity,,10090.0,,cat,"act(p(MGI:""Ggct""),ma(cat))",,Ggct
13113,Activity,,10090.0,,cat,"act(p(MGI:""B3galt5""),ma(cat))",,B3galt5
13114,Activity,,9606.0,,,"act(p(HGNC:""CTLA4""))",,CTLA4
13115,Activity,,10090.0,,,"act(p(MGI:""Map2k5""))",,Map2k5
13116,Activity,,7227.0,,cat,"act(p(FLYBASE:""shps""),ma(cat))",,shps
13117,Activity,,10116.0,,,"act(complex(p(RGD:""Cyba""),p(RGD:""Ncf1""),p(RGD:""Ncf2""),p(RGD:""Nox1""),composite(p(RGD:""Rac1""),p(RGD:""Rac2""))))",,Ncf1;Cyba;Ncf2;Rac2;Rac1;Nox1
13118,Activity,,9606.0,,,"act(complex(p(HGNC:""FYB1""),p(HGNC:""LCP2""),p(HGNC:""SKAP1"")))",,FYB1;LCP2;SKAP1
13119,Activity,,10090.0,,cat,"act(p(MGI:""Acot12""),ma(cat))",,Acot12
13120,Activity,,10116.0,,cat,"act(p(RGD:""Upb1""),ma(cat))",,Upb1
13121,Activity,,9606.0,,,"act(g(HGNC:""NGFR""))",,NGFR
13122,Activity,,10090.0,,,"act(complex(p(MGI:""Cul1""),composite(p(MGI:""Btrc""),p(MGI:""Fbxw11""))))",,Cul1;Fbxw11;Btrc
13123,Activity,,9606.0,,,"act(p(HGNC:""WASF2""))",,WASF2
13124,Activity,,9606.0,,cat,"act(p(HGNC:""FKRP""),ma(cat))",,FKRP
13125,Activity,,10090.0,,,"act(p(MGI:""Il13ra1""))",,Il13ra1
13126,Activity,,7227.0,,cat,"act(p(FLYBASE:""Mthfs""),ma(cat))",,Mthfs
13127,Activity,,9606.0,,,"act(p(HGNC:""SPTLC3""))",,SPTLC3
13128,Activity,,10090.0,,,"act(p(MGI:""Ghsr""))",,Ghsr
13129,Activity,,,Lymphocytes,,"act(a(MESH:""Lymphocytes""))",,
13130,Activity,,10090.0,,cat,"act(p(MGI:""St3gal6""),ma(cat))",,St3gal6
13131,Activity,,9606.0,,,"act(p(HGNC:""SSTR2""))",,SSTR2
13132,Activity,,10090.0,,,"act(p(MGI:""Il23r""))",,Il23r
13133,Activity,,7227.0,,cat,"act(p(FLYBASE:""LPCAT""),ma(cat))",,LPCAT
13134,Activity,,10090.0,,,"act(p(MGI:""Sco2""))",,Sco2
13135,Activity,,10090.0,,cat,"act(p(MGI:""Mocs2""),ma(cat))",,Mocs2
13136,Activity,,9606.0,,,"act(p(HGNC:""ATF3""))",,ATF3
13137,Activity,,10090.0,,,"act(p(MGI:""Fdps""))",,Fdps
13138,Activity,,9606.0,,,"act(p(HGNC:""C3""))",,C3
13139,Activity,,10116.0,,cat,"act(p(RGD:""Nudt12""),ma(cat))",,Nudt12
13140,Activity,,9606.0,,,"act(p(HGNC:""TRHR""))",,TRHR
13141,Activity,,10090.0,,,"act(complex(composite(p(MGI:""Il2rg""),p(MGI:""Il4ra"")),composite(p(MGI:""Jak1""),p(MGI:""Jak3""))))",,Il2rg;Il4ra;Jak3;Jak1
13142,Activity,,9606.0,,,"act(complex(p(HGNC:""ITGA6""),p(HGNC:""ITGB4"")))",,ITGB4;ITGA6
13143,Activity,,,,,"act(p(SFAM:""SRC Family""))",,SRC Family
13144,Activity,,10090.0,,,"act(p(MGI:""Prkce""))",,Prkce
13145,Activity,GO,,microtubule binding,,"act(p(CONSO:""Tau isoform F (441 aa)"",frag(""187_441"")),ma(GO:""microtubule binding""))",microtubule binding,Tau isoform F (441 aa)
13146,Activity,,10090.0,,,"act(p(MGI:""Becn1""))",,Becn1
13147,Activity,,9606.0,,cat,"act(p(HGNC:""COX10""),ma(cat))",,COX10
13148,Activity,,10116.0,,cat,"act(p(RGD:""Rxylt1""),ma(cat))",,Rxylt1
13149,Activity,,9606.0,,cat,"act(p(HGNC:""B4GAT1""),ma(cat))",,B4GAT1
13150,Activity,,10090.0,,,"act(complex(p(MGI:""Il12rb1""),p(MGI:""Il23r"")))",,Il12rb1;Il23r
13151,Activity,,9606.0,,,"act(p(HGNC:""STAT2""))",,STAT2
13152,Activity,,9606.0,,,"act(p(HGNC:""CDK5""))",,CDK5
13153,Activity,,10116.0,,cat,"act(p(RGD:""Gsr""),ma(cat))",,Gsr
13154,Activity,,,D009474,,"act(a(MESH:""D009474""))",,
13155,Activity,,10090.0,,,"act(p(MGI:""Kcnj1""))",,Kcnj1
13156,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG11236""),ma(cat))",,CG11236
13157,Activity,,10090.0,,,"act(complex(p(MGI:""Cdc20""),composite(p(MGI:""Anapc1""),p(MGI:""Anapc10""),p(MGI:""Anapc11""),p(MGI:""Anapc13""),p(MGI:""Anapc2""),p(MGI:""Anapc4""),p(MGI:""Anapc5""),p(MGI:""Anapc7""),p(MGI:""Cdc16""),p(MGI:""Cdc23""),p(MGI:""Cdc26""),p(MGI:""Cdc27""))))",,Anapc5;Anapc4;Anapc1;Anapc2;Anapc11;Anapc10;Anapc7;Cdc16;Cdc27;Cdc26;Anapc13;Cdc23;Cdc20
13158,Activity,,9606.0,,,"act(p(HGNC:""IL2RG""))",,IL2RG
13159,Activity,,10090.0,,cat,"act(p(MGI:""Cyp2u1""),ma(cat))",,Cyp2u1
13160,Activity,,10116.0,,,"act(p(RGD:""Pdpk1""))",,Pdpk1
13161,Activity,,,Mitochondria,,"act(a(MESH:""Mitochondria""))",,
13162,Activity,,10116.0,,cat,"act(p(RGD:""Aldh7a1""),ma(cat))",,Aldh7a1
13163,Activity,,9606.0,,,"act(complex(p(HGNC:""MAP3K7""),p(HGNC:""TAB1""),p(HGNC:""TAB2"")))",,TAB2;TAB1;MAP3K7
13164,Activity,,10116.0,,cat,"act(p(RGD:""Mgat5b""),ma(cat))",,Mgat5b
13165,Activity,,9606.0,,,"act(complex(p(HGNC:""ERBB2""),p(HGNC:""ERBB3"")))",,ERBB3;ERBB2
13166,Activity,,10090.0,,,"act(complex(p(MGI:""Il6ra""),p(MGI:""Il6st"")))",,Il6st;Il6ra
13167,Activity,,7227.0,,cat,"act(p(FLYBASE:""Aprt""),ma(cat))",,Aprt
13168,Activity,,,,kin,"act(p(SFAM:""AKT Family""),ma(kin))",,AKT Family
13169,Activity,,10090.0,,,"act(p(MGI:""Uts2r""))",,Uts2r
13170,Activity,,,,,"act(p(FPLX:""PPAR""))",,PPAR
13171,Activity,,10090.0,,cat,"act(p(MGI:""St3gal3""),ma(cat))",,St3gal3
13172,Activity,,7227.0,,cat,"act(p(FLYBASE:""Ppat-Dpck""),ma(cat))",,Ppat-Dpck
13173,Activity,,10090.0,,,"act(p(MGI:""Il21r""))",,Il21r
13174,Activity,,9606.0,,,"act(p(HGNC:""APLNR""))",,APLNR
13175,Activity,,10090.0,,,"act(p(MGI:""Tnfrsf11b""))",,Tnfrsf11b
13176,Activity,,9606.0,,cat,"act(p(HGNC:""HYKK""),ma(cat))",,HYKK
13177,Activity,,,,,"act(p(SFAM:""WNT Family""))",,WNT Family
13178,Activity,,10116.0,,cat,"act(p(RGD:""Oplah""),ma(cat))",,Oplah
13179,Activity,,,,,"act(p(FPLX:""CHRM""))",,CHRM
13180,Activity,,10090.0,,,"act(p(MGI:""Pdk1""))",,Pdk1
13181,Activity,,9606.0,,,"act(p(HGNC:""PTPRZ1""))",,PTPRZ1
13182,Activity,,10116.0,,,"act(p(RGD:""Trpa1""))",,Trpa1
13183,Activity,,9606.0,,cat,"act(p(HGNC:""ALDH5A1""),ma(cat))",,ALDH5A1
13184,Activity,,10090.0,,cat,"act(p(MGI:""Pigx""),ma(cat))",,Pigx
13185,Activity,,,,,"act(p(CONSO:""amyloid-beta oligomers""))",,amyloid-beta oligomers
13186,Activity,,10116.0,,,"act(complex(p(RGD:""Stat1""),p(RGD:""Stat3"")))",,Stat3;Stat1
13187,Activity,,9606.0,,,"act(p(HGNC:""BCAR1""))",,BCAR1
13188,Activity,,10090.0,,,"act(p(MGI:""Epor""))",,Epor
13189,Activity,,9606.0,,,"act(p(HGNC:""TIRAP""))",,TIRAP
13190,Activity,,9606.0,,,"act(p(HGNC:""PSEN2""))",,PSEN2
13191,Activity,,10090.0,,cat,"act(p(MGI:""Naprt""),ma(cat))",,Naprt
13192,Activity,,,choline,,"act(a(CHEBI:""choline""))",,
13193,Activity,,10090.0,,,"act(complex(p(MGI:""Atr""),p(MGI:""Atrip"")))",,Atrip;Atr
13194,Activity,,9606.0,,,"act(complex(p(HGNC:""MYD88""),p(HGNC:""TIRAP"")))",,MYD88;TIRAP
13195,Activity,,10116.0,,cat,"act(p(RGD:""Arsa""),ma(cat))",,Arsa
13196,Activity,,9606.0,,,"act(complex(p(HGNC:""FCER1A""),p(HGNC:""FCER1G""),p(HGNC:""MS4A2"")))",,FCER1G;FCER1A;MS4A2
13197,Activity,,10090.0,,,"act(p(MGI:""Neurog3""))",,Neurog3
13198,Activity,,10116.0,,,"act(p(RGD:""S1pr4""))",,S1pr4
13199,Activity,,9606.0,,kin,"act(p(HGNC:""MAPKAPK2""),ma(kin))",,MAPKAPK2
13200,Activity,,10116.0,,cat,"act(p(RGD:""Nat8l""),ma(cat))",,Nat8l
13201,Activity,,7227.0,,cat,"act(p(FLYBASE:""CPT2""),ma(cat))",,CPT2
13202,Activity,,10090.0,,,"act(p(MGI:""Hras""))",,Hras
13203,Activity,,7227.0,,cat,"act(p(FLYBASE:""Oscillin""),ma(cat))",,Oscillin
13204,Activity,,10116.0,,cat,"act(p(RGD:""B4galt7""),ma(cat))",,B4galt7
13205,Activity,,9606.0,,,"act(p(HGNC:""CASTOR1""))",,CASTOR1
13206,Activity,,10116.0,,cat,"act(p(RGD:""Pah""),ma(cat))",,Pah
13207,Activity,,,,,"act(p(MESH:""Receptors, Glutamate""))",,"Receptors, Glutamate"
13208,Activity,,10090.0,,,"act(p(MGI:""Glp1r""))",,Glp1r
13209,Activity,,7227.0,,cat,"act(p(FLYBASE:""CG17896""),ma(cat))",,CG17896
13210,Activity,,10090.0,,,"act(p(MGI:""Ctsg""))",,Ctsg
13211,Activity,,9606.0,,cat,"act(p(HGNC:""TALDO1""),ma(cat))",,TALDO1
13212,Activity,,10116.0,,cat,"act(p(RGD:""Glo1""),ma(cat))",,Glo1
13213,Activity,,10116.0,,,"act(complex(p(RGD:""Itgav""),p(RGD:""Itgb3"")))",,Itgb3;Itgav
13214,Activity,,9606.0,,pep,"act(p(HGNC:""QPCT""),ma(pep))",,QPCT
13215,Activity,,10090.0,,,"act(p(MGI:""Ccr6""))",,Ccr6
13216,Activity,,10090.0,,cat,"act(p(MGI:""Glud1""),ma(cat))",,Glud1
13217,Activity,,10090.0,,,"act(p(MGI:""Bcl3""))",,Bcl3
13218,Activity,,7227.0,,cat,"act(p(FLYBASE:""Gmd""),ma(cat))",,Gmd
13219,Activity,,10116.0,,,"act(p(RGD:""Plxnc1""))",,Plxnc1
